timestamp	timestamp_ms	bid	ask	spread_points	spread_price	volume	flags	last
2025.06.23 13:04:48	1750683888814	101482.37	101514.13	3176.0	31.76	0.00	6	0.00
2025.06.23 13:05:00	1750683900032	101482.37	101514.13	3176.0	31.76	0.00	2	0.00
2025.06.23 13:05:00	1750683900701	101477.67	101509.43	3176.0	31.76	0.00	6	0.00
2025.06.23 13:05:02	1750683902672	101472.27	101504.03	3176.0	31.76	0.00	6	0.00
2025.06.23 13:05:11	1750683911585	101478.67	101510.43	3176.0	31.76	0.00	6	0.00
2025.06.23 13:05:11	1750683911602	101479.47	101511.23	3176.0	31.76	0.00	6	0.00
2025.06.23 13:05:21	1750683921157	101472.17	101503.93	3176.0	31.76	0.00	6	0.00
2025.06.23 13:05:23	1750683923468	101463.77	101495.73	3196.0	31.96	0.00	6	0.00
2025.06.23 13:05:23	1750683923528	101463.77	101495.53	3176.0	31.76	0.00	4	0.00
2025.06.23 13:05:23	1750683923797	101462.17	101493.93	3176.0	31.76	0.00	6	0.00
2025.06.23 13:05:25	1750683925866	101455.27	101487.03	3176.0	31.76	0.00	6	0.00
2025.06.23 13:05:31	1750683931389	101463.57	101497.38	3381.0	33.81	0.00	6	0.00
2025.06.23 13:05:31	1750683931468	101469.77	101501.53	3176.0	31.76	0.00	6	0.00
2025.06.23 13:05:31	1750683931711	101472.27	101504.03	3176.0	31.76	0.00	6	0.00
2025.06.23 13:05:34	1750683934025	101472.37	101504.13	3176.0	31.76	0.00	6	0.00
2025.06.23 13:05:34	1750683934354	101477.47	101509.23	3176.0	31.76	0.00	6	0.00
2025.06.23 13:05:38	1750683938313	101473.97	101505.73	3176.0	31.76	0.00	6	0.00
2025.06.23 13:05:39	1750683939308	101469.17	101500.93	3176.0	31.76	0.00	6	0.00
2025.06.23 13:05:40	1750683940624	101463.67	101495.43	3176.0	31.76	0.00	6	0.00
2025.06.23 13:05:42	1750683942599	101469.07	101500.83	3176.0	31.76	0.00	6	0.00
2025.06.23 13:05:42	1750683942930	101475.67	101507.43	3176.0	31.76	0.00	6	0.00
2025.06.23 13:05:44	1750683944937	101477.47	101509.23	3176.0	31.76	0.00	6	0.00
2025.06.23 13:05:50	1750683950518	101472.87	101504.63	3176.0	31.76	0.00	6	0.00
2025.06.23 13:05:52	1750683952176	101468.87	101500.63	3176.0	31.76	0.00	6	0.00
2025.06.23 13:06:00	1750683960094	101468.87	101500.63	3176.0	31.76	0.00	2	0.00
2025.06.23 13:06:11	1750683971027	101468.77	101500.53	3176.0	31.76	0.00	6	0.00
2025.06.23 13:06:34	1750683994089	101475.17	101506.93	3176.0	31.76	0.00	6	0.00
2025.06.23 13:06:35	1750683995115	101484.17	101516.11	3194.0	31.94	0.00	6	0.00
2025.06.23 13:06:35	1750683995410	101487.17	101519.82	3265.0	32.65	0.00	6	0.00
2025.06.23 13:06:35	1750683995422	101495.17	101529.63	3446.0	34.46	0.00	6	0.00
2025.06.23 13:06:35	1750683995734	101498.07	101529.83	3176.0	31.76	0.00	6	0.00
2025.06.23 13:06:35	1750683995737	101503.67	101535.43	3176.0	31.76	0.00	6	0.00
2025.06.23 13:06:36	1750683996399	101504.07	101535.83	3176.0	31.76	0.00	6	0.00
2025.06.23 13:06:46	1750684006300	101503.97	101535.73	3176.0	31.76	0.00	6	0.00
2025.06.23 13:07:00	1750684020154	101503.97	101535.73	3176.0	31.76	0.00	2	0.00
2025.06.23 13:07:12	1750684032033	101506.07	101537.83	3176.0	31.76	0.00	6	0.00
2025.06.23 13:07:12	1750684032112	101514.27	101548.64	3437.0	34.37	0.00	6	0.00
